Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
42.7,-5802.40120,5115.78101,1035.27674,5675.58513,6024.24167,46.06585,45.79243, 
42.8,-5802.40120,5129.74943,1035.34754,5662.32462,6025.02039,45.28713,45.01371, 
42.9,-5802.40120,5143.64709,1035.41550,5649.12542,6025.78682,44.52070,44.24728, 
43.0,-5802.40120,5157.47256,1035.48070,5635.98812,6026.54018,43.76734,43.49392, 
43.1,-5802.40120,5171.22734,1035.54323,5622.91178,6027.28115,43.02636,42.75295, 
43.2,-5802.40120,5184.91296,1035.60318,5609.89549,6028.01042,42.29709,42.02368, 
43.3,-5802.40120,5198.52797,1035.66063,5596.93981,6028.72720,41.58031,41.30690, 
43.4,-5802.40120,5212.07485,1035.71566,5584.04334,6029.43265,40.87486,40.60145, 
43.5,-5802.40120,5225.55217,1035.76837,5571.20665,6030.12599,40.18153,39.90811, 
43.6,-5802.40120,5238.96141,1035.81882,5558.42885,6030.80787,39.49964,39.22623, 
43.7,-5802.40120,5252.30404,1035.86709,5545.70904,6031.47897,38.82855,38.55513, 
43.8,-5802.40120,5265.57864,1035.91325,5533.04780,6032.13848,38.16904,37.89562, 
43.9,-5802.40120,5278.78762,1035.95738,5520.44376,6032.78755,37.51996,37.24655, 
44.0,-5802.40120,5291.92957,1035.99954,5507.89748,6033.42539,36.88212,36.60871, 
44.1,-5802.40120,5305.00592,1036.03982,5495.40811,6034.05265,36.25486,35.98145, 
44.2,-5802.40120,5318.01812,1036.07829,5482.97478,6034.66998,35.63753,35.36412, 
44.3,-5802.40120,5330.96474,1036.11500,5470.59805,6035.27659,35.03093,34.75751, 
44.4,-5802.40120,5343.84816,1036.15003,5458.27660,6035.87359,34.43393,34.16051, 
44.5,-5802.40120,5356.66695,1036.18343,5446.01100,6036.46017,33.84734,33.57393, 
44.6,-5802.40120,5369.42254,1036.21526,5433.80039,6037.03699,33.27052,32.99711, 
44.7,-5802.40120,5382.11632,1036.24559,5421.64396,6037.60467,32.70284,32.42943, 
44.8,-5802.40120,5394.74687,1036.27447,5409.54226,6038.16241,32.14511,31.87169, 
44.9,-5802.40120,5407.31654,1036.30196,5397.49401,6038.71131,31.59621,31.32279, 
45.0,-5802.40120,5419.82388,1036.32812,5385.49976,6039.25056,31.05696,30.78354, 
45.1,-5802.40120,5432.27030,1036.35299,5373.55870,6039.78079,30.52673,30.25331, 
45.2,-5802.40120,5444.65717,1036.37663,5361.67003,6040.30262,30.00490,29.73148, 
45.3,-5802.40120,5456.98306,1036.39909,5349.83429,6040.81523,29.49228,29.21887, 
45.4,-5802.40120,5469.25027,1036.42041,5338.05025,6041.31973,28.98778,28.71437, 
45.5,-5802.40120,5481.45739,1036.44066,5326.31845,6041.81528,28.49223,28.21882, 
45.6,-5802.40120,5493.60576,1036.45986,5314.63810,6042.30251,28.00500,27.73159, 
45.7,-5802.40120,5505.69673,1036.47807,5303.00843,6042.78203,27.52548,27.25207, 
45.8,-5802.40120,5517.72889,1036.49533,5291.42999,6043.25301,27.05451,26.78109, 
45.9,-5802.40120,5529.70450,1036.51168,5279.90155,6043.71653,26.59098,26.31757, 
46.0,-5802.40120,5541.62212,1036.52717,5268.42368,6044.17177,26.13575,25.86233, 
46.1,-5802.40120,5553.48311,1036.54182,5256.99560,6044.61933,25.68819,25.41477, 
46.2,-5802.40120,5565.28876,1036.55568,5245.61657,6045.05981,25.24771,24.97429, 
46.3,-5802.40120,5577.03768,1036.56879,5234.28711,6045.49238,24.81514,24.54172, 
46.4,-5802.40120,5588.73207,1036.58117,5223.00606,6045.91810,24.38941,24.11600, 
46.5,-5802.40120,5600.37053,1036.59287,5211.77396,6046.33616,23.97136,23.69794, 
46.6,-5802.40120,5611.95435,1036.60392,5200.59007,6046.74713,23.56038,23.28697, 
46.7,-5802.40120,5623.48483,1036.61434,5189.45365,6047.15161,23.15590,22.88249, 
46.8,-5802.40120,5634.96056,1036.62417,5178.36524,6047.54876,22.75875,22.48534, 
46.9,-5802.40120,5646.38372,1036.63344,5167.32370,6047.93965,22.36787,22.09445, 
47.0,-5802.40120,5657.75290,1036.64217,5156.32956,6048.32342,21.98409,21.71068, 
47.1,-5802.40120,5669.06937,1036.65039,5145.38211,6048.70067,21.60685,21.33343, 
47.2,-5802.40120,5680.33441,1036.65813,5134.48062,6049.07196,21.23555,20.96214, 
47.3,-5802.40120,5691.54661,1036.66542,5123.62565,6049.43647,20.87104,20.59763, 
47.4,-5802.40120,5702.70811,1036.67227,5112.81607,6049.79524,20.51228,20.23886, 
47.5,-5802.40120,5713.81751,1036.67870,5102.05241,6050.14742,20.16010,19.88668, 
47.6,-5802.40120,5724.87606,1036.68475,5091.33397,6050.49358,19.81393,19.54052, 
47.7,-5802.40120,5735.88500,1036.69043,5080.66007,6050.83430,19.47321,19.19980, 
47.8,-5802.40120,5746.84293,1036.69576,5070.03124,6051.16873,19.13879,18.86537, 
47.9,-5802.40120,5757.75195,1036.70077,5059.44638,6051.49790,18.80962,18.53620, 
48.0,-5802.40120,5768.61068,1036.70545,5048.90603,6051.82096,18.48655,18.21314, 
48.1,-5802.40120,5779.42034,1036.70985,5038.40950,6052.13849,18.16903,17.89561, 
48.2,-5802.40120,5790.18214,1036.71396,5027.95613,6052.45103,17.85648,17.58307, 
48.3,-5802.40120,5800.89469,1036.71782,5017.54644,6052.75774,17.54977,17.27636, 
48.4,-5802.40120,5811.56006,1036.72142,5007.17937,6053.05965,17.24787,16.97445, 
48.5,-5802.40120,5822.17685,1036.72479,4996.85545,6053.35589,16.95162,16.67821, 
48.6,-5802.40120,5832.74628,1036.72795,4986.57401,6053.64704,16.66048,16.38706, 
48.7,-5802.40120,5843.26953,1036.73089,4976.33440,6053.93363,16.37389,16.10047, 
48.8,-5802.40120,5853.74521,1036.73364,4966.13715,6054.21481,16.09271,15.81929, 
48.9,-5802.40120,5864.17537,1036.73621,4955.98122,6054.49160,15.81592,15.54250, 
49.0,-5802.40120,5874.55861,1036.73861,4945.86713,6054.76314,15.54437,15.27096, 
49.1,-5802.40120,5884.89611,1036.74084,4935.79423,6055.02998,15.27753,15.00412, 
49.2,-5802.40120,5895.18905,1036.74292,4925.76190,6055.29267,15.01485,14.74143, 
49.3,-5802.40120,5905.43603,1036.74486,4915.77065,6055.55034,14.75718,14.48376, 
49.4,-5802.40120,5915.63906,1036.74667,4905.81947,6055.80400,14.50352,14.23010, 
49.5,-5802.40120,5925.79677,1036.74835,4895.90887,6056.05279,14.25473,13.98131, 
49.6,-5802.40120,5935.91030,1036.74991,4886.03824,6056.29725,14.01027,13.73685, 
49.7,-5802.40120,5945.98080,1036.75136,4876.20695,6056.53792,13.76960,13.49618, 
49.8,-5802.40120,5956.00689,1036.75271,4866.41552,6056.77393,13.53359,13.26017, 
49.9,-5802.40120,5965.99056,1036.75397,4856.66296,6057.00628,13.30123,13.02782, 
50.0,-5802.40120,5975.93041,1036.75513,4846.94979,6057.23412,13.07339,12.79998, 
50.1,-5802.40120,5985.82758,1036.75621,4837.27538,6057.45797,12.84954,12.57613, 
50.2,-5802.40120,5995.68320,1036.75721,4827.63916,6057.67837,12.62915,12.35573, 
50.3,-5802.40120,6005.49588,1036.75814,4818.04161,6057.89443,12.41308,12.13967, 
50.4,-5802.40120,6015.26759,1036.75900,4808.48179,6058.10717,12.20034,11.92693, 
50.5,-5802.40120,6024.99693,1036.75980,4798.96018,6058.31571,11.99180,11.71839, 
50.6,-5802.40120,6034.68503,1036.76054,4789.47622,6058.52058,11.78693,11.51352, 
50.7,-5802.40120,6044.33299,1036.76122,4780.02930,6058.72230,11.58521,11.31180, 
50.8,-5802.40120,6053.93942,1036.76185,4770.61994,6058.92001,11.38750,11.11409, 
50.9,-5802.40120,6063.50626,1036.76243,4761.24719,6059.11468,11.19283,10.91942, 
51.0,-5802.40120,6073.03213,1036.76297,4751.91156,6059.30545,11.00206,10.72865, 
51.1,-5802.40120,6082.51812,1036.76347,4742.61246,6059.49284,10.81467,10.54126, 
51.2,-5802.40120,6091.96532,1036.76393,4733.34933,6059.67737,10.63014,10.35673, 
51.3,-5802.40120,6101.37235,1036.76435,4724.12267,6059.85816,10.44935,10.17594, 
51.4,-5802.40120,6110.74110,1036.76474,4714.93156,6060.03620,10.27132,9.99790, 
51.5,-5802.40120,6120.07022,1036.76510,4705.77649,6060.21061,10.09691,9.82349, 
51.6,-5802.40120,6129.36077,1036.76543,4696.65691,6060.38190,9.92561,9.65220, 
51.7,-5802.40120,6138.61380,1036.76573,4687.57226,6060.55059,9.75692,9.48351, 
51.8,-5802.40120,6147.82797,1036.76602,4678.52303,6060.71581,9.59170,9.31829, 
51.9,-5802.40120,6157.00513,1036.76627,4669.50833,6060.87852,9.42899,9.15558, 
52.0,-5802.40120,6166.14392,1036.76651,4660.52864,6061.03786,9.26965,8.99624, 
52.1,-5802.40120,6175.24539,1036.76673,4651.58342,6061.19433,9.11318,8.83977, 
52.2,-5802.40120,6184.31058,1036.76693,4642.67214,6061.34844,8.95907,8.68566, 
52.3,-5802.40120,6193.33814,1036.76711,4633.79527,6061.49932,8.80820,8.53478, 
52.4,-5802.40120,6202.32989,1036.76728,4624.95195,6061.64792,8.65959,8.38618, 
52.5,-5802.40120,6211.28450,1036.76743,4616.14265,6061.79338,8.51413,8.24072, 
52.6,-5802.40120,6220.20298,1036.76757,4607.36685,6061.93620,8.37131,8.09790, 
52.7,-5802.40120,6229.08636,1036.76770,4598.62402,6062.07688,8.23064,7.95722, 
52.8,-5802.40120,6237.93329,1036.76782,4589.91464,6062.21454,8.09297,7.81956, 
52.9,-5802.40120,6246.74557,1036.76793,4581.23785,6062.35015,7.95736,7.68395, 
53.0,-5802.40120,6255.52186,1036.76803,4572.59414,6062.48283,7.82469,7.55127, 
53.1,-5802.40120,6264.26317,1036.76812,4563.98298,6062.61307,7.69444,7.42103, 
53.2,-5802.40120,6272.97051,1036.76820,4555.40387,6062.74138,7.56614,7.29272, 
53.3,-5802.40120,6281.64252,1036.76828,4546.85728,6062.86687,7.44064,7.16723, 
53.4,-5802.40120,6290.28100,1036.76835,4538.34237,6062.99051,7.31701,7.04359, 
53.5,-5802.40120,6298.88459,1036.76841,4529.85961,6063.11141,7.19611,6.92269, 
53.6,-5802.40120,6307.45429,1036.76847,4521.40851,6063.23007,7.07745,6.80403, 
53.7,-5802.40120,6315.99109,1036.76852,4512.98856,6063.34697,6.96054,6.68713, 
53.8,-5802.40120,6324.49365,1036.76857,4504.60024,6063.46125,6.84626,6.57285, 
53.9,-5802.40120,6332.96373,1036.76861,4496.24272,6063.57385,6.73366,6.46025, 
54.0,-5802.40120,6341.39998,1036.76865,4487.91647,6063.68390,6.62362,6.35020, 
54.1,-5802.40120,6349.80339,1036.76869,4479.62100,6063.79188,6.51564,6.24222, 
54.2,-5802.40120,6358.17493,1036.76872,4471.35583,6063.89827,6.40924,6.13583, 
54.3,-5802.40120,6366.51325,1036.76875,4463.12141,6064.00221,6.30530,6.03189, 
54.4,-5802.40120,6374.82010,1036.76878,4454.91696,6064.10464,6.20288,5.92946, 
54.5,-5802.40120,6383.09415,1036.76880,4446.74292,6064.20467,6.10284,5.82943, 
54.6,-5802.40120,6391.33635,1036.76882,4438.59883,6064.30280,6.00472,5.73130, 
54.7,-5802.40120,6399.54765,1036.76884,4430.48420,6064.39950,5.90802,5.63460, 
54.8,-5802.40120,6407.72674,1036.76886,4422.39950,6064.49390,5.81362,5.54020, 
54.9,-5802.40120,6415.87531,1036.76888,4414.34394,6064.58693,5.72058,5.44717, 
55.0,-5802.40120,6423.99204,1036.76889,4406.31799,6064.67772,5.62979,5.35638, 
55.1,-5802.40120,6432.07789,1036.76891,4398.32116,6064.76675,5.54076,5.26735, 
55.2,-5802.40120,6440.13377,1036.76892,4390.35301,6064.85450,5.45302,5.17960, 
55.3,-5802.40120,6448.15838,1036.76893,4382.41397,6064.94008,5.36743,5.09402, 
55.4,-5802.40120,6456.15340,1036.76894,4374.50330,6065.02443,5.28308,5.00967, 
55.5,-5802.40120,6464.11751,1036.76895,4366.62143,6065.10668,5.20083,4.92742, 
55.6,-5802.40120,6472.05163,1036.76896,4358.76791,6065.18730,5.12021,4.84680, 
55.7,-5802.40120,6479.95670,1036.76897,4350.94230,6065.26676,5.04075,4.76734, 
55.8,-5802.40120,6487.83139,1036.76897,4343.14503,6065.34419,4.96332,4.68991, 
55.9,-5802.40120,6495.67737,1036.76898,4335.37536,6065.42051,4.88700,4.61359, 
56.0,-5802.40120,6503.49333,1036.76898,4327.63374,6065.49485,4.81267,4.53925, 
56.1,-5802.40120,6511.28018,1036.76899,4319.91971,6065.56768,4.73984,4.46642, 
56.2,-5802.40120,6519.03882,1036.76899,4312.23285,6065.63946,4.66806,4.39464, 
56.3,-5802.40120,6526.76795,1036.76900,4304.57358,6065.70932,4.59819,4.32478, 
56.4,-5802.40120,6534.46921,1036.76900,4296.94118,6065.77819,4.52932,4.25591, 
56.5,-5802.40120,6542.14129,1036.76900,4289.33609,6065.84518,4.46233,4.18892, 
56.6,-5802.40120,6549.78509,1036.76901,4281.75788,6065.91077,4.39674,4.12333, 
56.7,-5802.40120,6557.40151,1036.76901,4274.20610,6065.97542,4.33209,4.05868, 
56.8,-5802.40120,6564.98924,1036.76901,4266.68121,6066.03826,4.26926,3.99584, 
56.9,-5802.40120,6572.54990,1036.76901,4259.18247,6066.10019,4.20733,3.93391, 
57.0,-5802.40120,6580.08220,1036.76902,4251.71034,6066.16035,4.14717,3.87375, 
57.1,-5802.40120,6587.58701,1036.76902,4244.26437,6066.21920,4.08832,3.81490, 
57.2,-5802.40120,6595.06521,1036.76902,4236.84416,6066.27719,4.03032,3.75691, 
57.3,-5802.40120,6602.51552,1036.76902,4229.45013,6066.33347,3.97404,3.70063, 
57.4,-5802.40120,6609.93953,1036.76902,4222.08158,6066.38893,3.91858,3.64517, 
57.5,-5802.40120,6617.33594,1036.76902,4214.73894,6066.44271,3.86481,3.59139, 
57.6,-5802.40120,6624.70563,1036.76902,4207.42180,6066.49525,3.81226,3.53885, 
57.7,-5802.40120,6632.04946,1036.76902,4200.12974,6066.54703,3.76049,3.48707, 
57.8,-5802.40120,6639.36615,1036.76903,4192.86319,6066.59717,3.71035,3.43693, 
57.9,-5802.40120,6646.65727,1036.76903,4185.62147,6066.64656,3.66095,3.38754, 
58.0,-5802.40120,6653.92154,1036.76903,4178.40499,6066.69435,3.61317,3.33975, 
58.1,-5802.40120,6661.15980,1036.76903,4171.21335,6066.74098,3.56654,3.29312, 
58.2,-5802.40120,6668.37293,1036.76903,4164.04615,6066.78691,3.52060,3.24719, 
58.3,-5802.40120,6675.55963,1036.76903,4156.90382,6066.83127,3.47624,3.20283, 
58.4,-5802.40120,6682.72147,1036.76903,4149.78567,6066.87496,3.43255,3.15914, 
58.5,-5802.40120,6689.85716,1036.76903,4142.69212,6066.91711,3.39041,3.11699, 
58.6,-5802.40120,6696.96754,1036.76903,4135.62279,6066.95816,3.34935,3.07594, 
58.7,-5802.40120,6704.05347,1036.76903,4128.57728,6066.99858,3.30894,3.03552, 
58.8,-5802.40120,6711.11367,1036.76903,4121.55599,6067.03749,3.27003,2.99661, 
58.9,-5802.40120,6718.14966,1036.76903,4114.55829,6067.07578,3.23174,2.95832, 
59.0,-5802.40120,6725.16019,1036.76903,4107.58456,6067.11258,3.19493,2.92152, 
59.1,-5802.40120,6732.14609,1036.76903,4100.63444,6067.14836,3.15916,2.88574, 
59.2,-5802.40120,6739.10818,1036.76903,4093.70754,6067.18354,3.12397,2.85056, 
59.3,-5802.40120,6746.04519,1036.76903,4086.80426,6067.21727,3.09024,2.81683, 
59.4,-5802.40120,6752.95865,1036.76903,4079.92396,6067.25043,3.05708,2.78367, 
59.5,-5802.40120,6759.84729,1036.76903,4073.06705,6067.28216,3.02535,2.75194, 
59.6,-5802.40120,6766.71193,1036.76903,4066.23315,6067.31290,2.99461,2.72120, 
59.7,-5802.40120,6773.55339,1036.76903,4059.42188,6067.34310,2.96441,2.69100, 
59.8,-5802.40120,6780.37041,1036.76903,4052.63365,6067.37189,2.93562,2.66221, 
59.9,-5802.40120,6787.16450,1036.76903,4045.86783,6067.40016,2.90736,2.63394, 
60.0,-5802.40120,6793.93438,1036.76903,4039.12482,6067.42703,2.88048,2.60707, 
60.1,-5802.40120,6800.68088,1036.76903,4032.40425,6067.45296,2.85455,2.58114, 
60.2,-5802.40120,6807.40480,1036.76903,4025.70575,6067.47838,2.82913,2.55572, 
60.3,-5802.40120,6814.10489,1036.76903,4019.02972,6067.50244,2.80508,2.53166, 
60.4,-5802.40120,6820.78263,1036.76903,4012.37555,6067.52600,2.78151,2.50810, 
60.5,-5802.40120,6827.43676,1036.76903,4005.74362,6067.54822,2.75930,2.48588, 
60.6,-5802.40120,6834.06810,1036.76903,3999.13359,6067.56952,2.73800,2.46458, 
60.7,-5802.40120,6840.67744,1036.76903,3992.54508,6067.59035,2.71717,2.44375, 
60.8,-5802.40120,6847.26352,1036.76903,3985.97849,6067.60985,2.69767,2.42425, 
60.9,-5802.40120,6853.82783,1036.76903,3979.43322,6067.62888,2.67863,2.40522, 
61.0,-5802.40120,6860.36911,1036.76903,3972.90966,6067.64660,2.66092,2.38750, 
61.1,-5802.40120,6866.88816,1036.76903,3966.40745,6067.66344,2.64408,2.37066, 
61.2,-5802.40120,6873.38575,1036.76903,3959.92625,6067.67983,2.62769,2.35427, 
61.3,-5802.40120,6879.86066,1036.76903,3953.46643,6067.69492,2.61259,2.33918, 
61.4,-5802.40120,6886.31433,1036.76903,3947.02742,6067.70958,2.59794,2.32452, 
61.5,-5802.40120,6892.74553,1036.76903,3940.60958,6067.72294,2.58457,2.31116, 
61.6,-5802.40120,6899.15504,1036.76903,3934.21259,6067.73546,2.57206,2.29864, 
61.7,-5802.40120,6905.54364,1036.76903,3927.83608,6067.74755,2.55997,2.28655, 
61.8,-5802.40120,6911.91008,1036.76903,3921.48046,6067.75837,2.54915,2.27573, 
61.9,-5802.40120,6918.25582,1036.76903,3915.14513,6067.76878,2.53874,2.26532, 
62.0,-5802.40120,6924.57962,1036.76903,3908.83047,6067.77792,2.52959,2.25618, 
62.1,-5802.40120,6930.88225,1036.76903,3902.53616,6067.78624,2.52128,2.24786, 
62.2,-5802.40120,6937.16449,1036.76903,3896.26184,6067.79415,2.51336,2.23995, 
62.3,-5802.40120,6943.42509,1036.76903,3890.00790,6067.80082,2.50669,2.23328, 
62.4,-5802.40120,6949.66550,1036.76903,3883.77377,6067.80710,2.50042,2.22700, 
62.5,-5802.40120,6955.88448,1036.76903,3877.55983,6067.81214,2.49538,2.22196, 
62.6,-5802.40120,6962.08280,1036.76903,3871.36574,6067.81637,2.49115,2.21773, 
62.7,-5802.40120,6968.26122,1036.76903,3865.19117,6067.82022,2.48729,2.21388, 
62.8,-5802.40120,6974.41852,1036.76903,3859.03650,6067.82285,2.48466,2.21125, 
62.9,-5802.40120,6980.55611,1036.76903,3852.90117,6067.82511,2.48241,2.20899, 
63.0,-5802.40120,6986.67278,1036.76903,3846.78554,6067.82615,2.48136,2.20795, 
63.1,-5802.40120,6992.76927,1036.76903,3840.68931,6067.82641,2.48111,2.20769, 
63.2,-5802.40120,6998.84635,1036.76903,3834.61213,6067.82630,2.48121,2.20780, 
63.3,-5802.40120,7004.90279,1036.76903,3828.55438,6067.82500,2.48251,2.20910, 
63.4,-5802.40120,7010.94000,1036.76903,3822.51551,6067.82334,2.48417,2.21076, 
63.5,-5802.40120,7016.95677,1036.76903,3816.49589,6067.82050,2.48702,2.21360, 
63.6,-5802.40120,7022.95385,1036.76903,3810.49521,6067.81689,2.49063,2.21721, 
63.7,-5802.40120,7028.93197,1036.76903,3804.51313,6067.81293,2.49458,2.22117, 
63.8,-5802.40120,7034.88994,1036.76903,3798.55003,6067.80780,2.49971,2.22630, 
63.9,-5802.40120,7040.82914,1036.76903,3792.60538,6067.80234,2.50517,2.23176, 
64.0,-5802.40120,7046.74836,1036.76903,3786.67952,6067.79571,2.51180,2.23839, 
64.1,-5802.40120,7052.64836,1036.76903,3780.77215,6067.78834,2.51917,2.24576, 
64.2,-5802.40120,7058.52921,1036.76903,3774.88319,6067.78023,2.52729,2.25387, 
64.3,-5802.40120,7064.39229,1036.76903,3769.01210,6067.77222,2.53529,2.26188, 
64.4,-5802.40120,7070.23513,1036.76903,3763.15968,6067.76264,2.54487,2.27146, 
64.5,-5802.40120,7076.05910,1036.76903,3757.32542,6067.75234,2.55517,2.28176, 
64.6,-5802.40120,7081.86428,1036.76903,3751.50921,6067.74132,2.56620,2.29278, 
64.7,-5802.40120,7087.65077,1036.76903,3745.71099,6067.72958,2.57793,2.30452, 
64.8,-5802.40120,7093.41992,1036.76903,3739.93021,6067.71797,2.58955,2.31613, 
64.9,-5802.40120,7099.16928,1036.76903,3734.16770,6067.70481,2.60270,2.32929, 
65.0,-5802.40120,7104.90021,1036.76903,3728.42291,6067.69095,2.61656,2.34315, 
65.1,-5802.40120,7110.61280,1036.76903,3722.69578,6067.67640,2.63111,2.35770, 
65.2,-5802.40120,7116.30712,1036.76903,3716.98621,6067.66116,2.64636,2.37294, 
